O3,PM10,PM2.5,PM2.5Diff,DayWeek,Hour,PRS,RAINF,RH,SR,TOUT,WSR,WDV,CONT
42,46,20,9,7,16,722.7,0,56,0.163,26.85,9.8,60,0
17,90,32,1,3,23,718.3,0,76,0,22.05,8.4,126,0
33,184,18,10,2,18,719,0,49,0.002,21.82,9.3,132,0
12,133,39,1,6,0,716.8,0,80,0,24.32,4.2,43,0
35,114,17,4,4,18,715,0.06,74,0.001,25.64,15,239,0
8,80,35,31,4,4,719,0,93,0,17.78,4.4,354,0
64,61,25,7,2,13,716.6,0,44,0.79,34.04,10.5,99,0
36,105,21,12,3,17,726.8,0,66,0.036,15.98,6.7,105,0
13,79,34,1,3,1,719.3,0,82,0,23.69,5.4,65,0
30,51,17,0,6,22,730.1,0,50,0,8.48,7.5,119,0
28,40,15,3,1,0,718.6,0,86,0,19.93,10.1,84,0
6,77,16,40,1,21,716.2,0,85,0.002,22.72,3.5,12,0
25,46,29,1,7,23,720,0,70,0.001,26.66,12.7,67,0
32,62,13,8,1,12,718.8,0,78,0.439,22.55,9.6,93,0
11,59,13,10,5,17,727.4,0,88,0.01,3.93,5.1,122,0
8,87,30,16,6,22,718.7,0,68,0.016,27.53,11.3,94,0
14,71,20,3,4,0,717,0,92,0.026,23.2,10.2,106,0
10,40,37,24,2,5,718.2,0,82,0,23.02,5,274,0
22,113,24,16,7,23,713.9,0,79,0,25.7,7.4,122,0
7,44,30,17,3,5,717.9,0,85,0,23.83,6.4,83,0
37,80,23,0,5,15,719.8,0,42,0.537,34.43,13.5,110,0
3,113,40,4,5,5,717.3,0,80,0,8.66,0.9,207,0
13,69,28,7,1,19,715.7,0,77,0.002,23.63,6.4,87,0
18,23,9,11,2,10,728.7,0.04,89,0.043,6.46,6.7,332,0
12,14,14,2,4,2,716.3,0,95,0,4.07,4.1,13,0
35,68,25,0,1,15,718.1,0,60,0.693000019,30.92,13.9,115,0
12,36,29,19,5,1,720.5,0,82,0.002,25.13,9.9,71,0
8,111,24,21,4,0,718.4,0,86,0.019,20.94,6,92,0
9,90,25,11,6,23,716.4,0,87,0,24.05,9.1,111,0
32,62,25,2,4,17,716,0,50,0.335000008,32.98,12.6,125,0
12,61,19,1,3,11,720.5,0.01,89,0.077,16.1,6.3,103,0
23,39,26,13,6,22,722.9,0,94,0,15.44,16.9,98,0
32,53,18,13,1,18,708.7,0,40,0.044,31.88,11.9,119,0
63,47,28,7,2,13,717.5,0,39,0.811,33.88,9.8,58,0
16,108,35,15,3,19,717.9,0,71,0,25.09,8.3,106,0
35,83,23,11,2,17,718.9,0,45,0.199,27.96,13.5,122,0
22,35,16,10,4,22,717.8,0,42,0.001,24.2,4.2,312,0
38,43,36,2,1,17,717.2,0,48,0.055,30.72,10,101,0
13,65,10,61,7,16,719.4,0,73,0.136,14.63,1.6,197,0
36,115,36,4,3,10,717.6,0,71,0.714999974,29.01,4.9,66,0
31,63,7,17,7,10,729.2,0,57,0.285,8.74,7.5,108,0
11,125,24,2,5,9,719.7,0,59,0.374,16.29,2.5,331,0
14,72,24,6,3,1,717,0,77,0,25.99,6.6,76,0
25,63,20,14,6,9,732.5,0,69,0.09,6.38,11.1,115,0
